Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1050.0,2040.564,0,166.57931958430544,170.952,104.40141078663973,814.294,0.0,48.20005,116.0119625,2.4068846920283278,0.4,122,144.45259683879817,0.4,160,144.45259683879817,160,160,160,102.45259683879817,63.806,60.8,0.0
1051.0,1813.637,28.299,255.22514457992847,317.483,104.40141078663973,814.294,3.4467466860699503,49.44778125,116.0119625,2.3461510216901793,0.4,122,123.27281493014007,0.4,160,123.27281493014007,160,160,151.27281493014004,81.27281493014007,63.806,59.0,1.3037449522162496
1052.0,1961.766,492.0,343.87096400563905,464.013,104.40141078663973,813.27,60.0,50.55205,115.86605625,2.2920149875227613,0.4,122,137.09818506934602,0.4,160,137.09818506934602,160,160,160,95.09818506934604,63.806,57.2,21.47137312480855
1053.0,2006.475,492.0,447.2910875972868,634.966,104.40141078663973,813.27,60.0,50.55205,115.86605625,2.2920149875227613,0.4,122,141.2710103399982,0.4,160,141.2710103399982,160,160,160,99.27101033999823,63.806,57.2,21.89358243095115
1054.0,2207.143,485.441,284.77374734189027,366.326,104.40141078663973,810.743,59.38470100714706,52.85605,115.50605625,2.1852948952863485,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,53.6,20.589952852478696
1055.0,1833.723,0,373.41957233751333,512.857,104.40141078663973,808.216,0.0,55.16005,115.14605624999999,2.087490063007557,0.4,122,125.14750658183212,0.4,160,125.14750658183212,160,160,153.1475065818321,83.1475065818321,63.806,50.0,0.0
1056.0,2002.173,423.675,255.22514457992847,317.483,104.40141078663973,806.953,52.07210915033111,56.31205,114.96605625,2.0415889005994274,0.4,122,140.869450278192,0.4,160,140.869450278192,160,160,160,98.869450278192,63.806,48.2,14.958166284836189
1057.0,2190.803,488.178,299.5480515078275,390.748,104.40141078663973,806.953,60.0,56.31205,114.96605625,2.0415889005994274,0.4,122,158.47493790983975,0.4,160,158.47493790983975,160,160,160,116.47493790983974,63.806,48.2,14.657512654919648
1058.0,2207.143,153.371,137.03071125243108,122.109,104.40141078663973,808.216,18.820695116248526,55.16005,115.14605624999999,2.087490063007557,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,50.0,4.499518415079868
1059.0,2114.435,0,92.70780432453202,48.844,104.40141078663973,807.079,0.0,56.19685,114.98405625,2.046094331799736,0.4,122,151.34727159637703,0.4,160,151.34727159637703,160,160,160,109.34727159637704,63.806,48.38,0.0
